layer,head,value
22,0,0.26953125
22,1,0.19140625
22,2,0.057128906
22,3,0.27734375
22,4,0.45898438
22,5,0.044677734
22,6,0.37890625
22,7,0.02368164
22,8,0.24121094
22,9,0.018188477
22,10,0.01940918
22,11,0.12890625
22,12,0.025634766
22,13,0.023925781
22,14,0.025024414
22,15,0.024291992
22,16,0.079589844
22,17,0.020629883
22,18,0.030029297
22,19,0.014953613
22,20,0.06640625
22,21,0.17578125
22,22,0.034179688
22,23,0.1328125
22,24,0.13769531
22,25,0.048583984
22,26,0.076171875
22,27,0.07080078
22,28,0.044433594
22,29,0.39648438
22,30,0.18359375
22,31,0.04638672
23,0,0.012390137
23,1,0.053955078
23,2,0.009643555
23,3,0.0073547363
23,4,0.072753906
23,5,0.033203125
23,6,0.012756348
23,7,0.020507812
23,8,0.095703125
23,9,0.007751465
23,10,0.028564453
23,11,0.06542969
23,12,0.35742188
23,13,0.2890625
23,14,0.17675781
23,15,0.22070312
23,16,0.022338867
23,17,0.048828125
23,18,0.034179688
23,19,0.027954102
23,20,0.009643555
23,21,0.03125
23,22,0.021728516
23,23,0.02734375
23,24,0.026123047
23,25,0.17871094
23,26,0.053222656
23,27,0.023803711
23,28,0.14160156
23,29,0.16308594
23,30,0.096191406
23,31,0.11425781
24,0,0.010192871
24,1,0.0079956055
24,2,0.51953125
24,3,0.039794922
24,4,0.35742188
24,5,0.5625
24,6,0.26757812
24,7,0.053710938
24,8,0.016723633
24,9,0.049804688
24,10,0.030029297
24,11,0.69140625
24,12,0.67578125
24,13,0.26171875
24,14,0.41992188
24,15,0.5390625
24,16,0.008666992
24,17,0.013427734
24,18,0.011474609
24,19,0.018554688
24,20,0.10449219
24,21,0.84765625
24,22,0.5
24,23,0.2734375
24,24,0.04345703
24,25,0.010559082
24,26,0.006378174
24,27,0.012084961
24,28,0.052490234
24,29,0.04248047
24,30,0.011230469
24,31,0.010986328
25,0,0.0074157715
25,1,0.05078125
25,2,0.01953125
25,3,0.013549805
25,4,0.005432129
25,5,0.026977539
25,6,0.008422852
25,7,0.008239746
25,8,0.10107422
25,9,0.7265625
25,10,0.765625
25,11,0.18847656
25,12,0.026733398
25,13,0.083984375
25,14,0.47265625
25,15,0.71484375
25,16,0.17089844
25,17,0.022460938
25,18,0.033691406
25,19,0.040283203
25,20,0.053955078
25,21,0.049560547
25,22,0.008483887
25,23,0.05444336
25,24,0.041259766
25,25,0.021118164
25,26,0.09472656
25,27,0.5
25,28,0.036621094
25,29,0.296875
25,30,0.037597656
25,31,0.05078125
26,0,0.018310547
26,1,0.014709473
26,2,0.01171875
26,3,0.012817383
26,4,0.09423828
26,5,0.07373047
26,6,0.52734375
26,7,0.040283203
26,8,0.0138549805
26,9,0.03125
26,10,0.013916016
26,11,0.0134887695
26,12,0.09082031
26,13,0.038085938
26,14,0.33203125
26,15,0.1875
26,16,0.083984375
26,17,0.091308594
26,18,0.067871094
26,19,0.091796875
26,20,0.036376953
26,21,0.034179688
26,22,0.16699219
26,23,0.05834961
26,24,0.3984375
26,25,0.0859375
26,26,0.026123047
26,27,0.36132812
26,28,0.047607422
26,29,0.015197754
26,30,0.013000488
26,31,0.01574707
27,0,0.04272461
27,1,0.03881836
27,2,0.048828125
27,3,0.028564453
27,4,0.009094238
27,5,0.013244629
27,6,0.0138549805
27,7,0.008117676
27,8,0.17578125
27,9,0.08203125
27,10,0.03515625
27,11,0.07128906
27,12,0.24414062
27,13,0.021240234
27,14,0.06225586
27,15,0.14160156
27,16,0.030517578
27,17,0.026855469
27,18,0.095703125
27,19,0.014465332
27,20,0.020263672
27,21,0.033203125
27,22,0.05859375
27,23,0.049316406
27,24,0.06542969
27,25,0.095214844
27,26,0.20996094
27,27,0.25390625
27,28,0.010986328
27,29,0.62109375
27,30,0.012634277
27,31,0.06933594
28,0,0.5078125
28,1,0.07128906
28,2,0.064941406
28,3,0.057128906
28,4,0.04711914
28,5,0.25195312
28,6,0.029907227
28,7,0.07324219
28,8,0.015014648
28,9,0.063964844
28,10,0.05883789
28,11,0.022460938
28,12,0.36328125
