model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
LLaVA-NeXT,llava-next,6,31,54.35779690742491,4.35779690742492,Other
LLaVA-NeXT,llava-next,7,0,46.55963182449341,-3.4403681755065896,Other
LLaVA-NeXT,llava-next,7,1,53.44036817550659,3.4403681755065896,Other
LLaVA-NeXT,llava-next,7,2,51.605504751205444,1.6055047512054401,Other
LLaVA-NeXT,llava-next,7,3,52.293577790260315,2.29357779026031,Other
LLaVA-NeXT,llava-next,7,4,47.24770784378052,-2.75229215621948,Other
LLaVA-NeXT,llava-next,7,5,44.03669834136963,-5.963301658630369,Other
LLaVA-NeXT,llava-next,7,6,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,7,7,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,7,8,55.2752286195755,5.2752286195755,Other
LLaVA-NeXT,llava-next,7,9,45.64220309257508,-4.35779690742492,Other
LLaVA-NeXT,llava-next,7,10,48.62385392189026,-1.37614607810974,Other
LLaVA-NeXT,llava-next,7,11,53.44036817550659,3.4403681755065896,Other
LLaVA-NeXT,llava-next,7,12,44.49541568756104,-5.50458431243896,Other
LLaVA-NeXT,llava-next,7,13,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,7,14,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,7,15,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,7,16,47.24770784378052,-2.75229215621948,Other
LLaVA-NeXT,llava-next,7,17,52.75229215621948,2.75229215621948,Other
LLaVA-NeXT,llava-next,7,18,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,7,19,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,7,20,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,7,21,45.41284441947937,-4.58715558052063,Other
LLaVA-NeXT,llava-next,7,22,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,7,23,50.2293586730957,0.22935867309570002,Other
LLaVA-NeXT,llava-next,7,24,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,7,25,50.0,-0.0,Other
LLaVA-NeXT,llava-next,7,26,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,7,27,58.256879448890686,8.25687944889068,Other
LLaVA-NeXT,llava-next,7,28,52.522936463356004,2.52293646335601,Other
LLaVA-NeXT,llava-next,7,29,43.57798099517823,-6.42201900482177,Other
LLaVA-NeXT,llava-next,7,30,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,7,31,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,8,0,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,8,1,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,8,2,46.788990497589126,-3.2110095024108802,Other
LLaVA-NeXT,llava-next,8,3,51.605504751205444,1.6055047512054401,Other
LLaVA-NeXT,llava-next,8,4,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,8,5,45.18348574638367,-4.81651425361633,Other
LLaVA-NeXT,llava-next,8,6,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,8,7,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,8,8,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,8,9,51.37614607810974,1.37614607810974,Other
LLaVA-NeXT,llava-next,8,10,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,8,11,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,8,12,54.12844121456146,4.128441214561461,Other
LLaVA-NeXT,llava-next,8,13,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,8,14,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,8,15,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,8,16,47.477066516876235,-2.52293348312377,Other
LLaVA-NeXT,llava-next,8,17,57.798165082931504,7.798165082931511,Other
LLaVA-NeXT,llava-next,8,18,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,8,19,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,8,20,48.16513657569886,-1.83486342430114,Other
LLaVA-NeXT,llava-next,8,21,46.788990497589126,-3.2110095024108802,Other
LLaVA-NeXT,llava-next,8,22,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,8,23,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,8,24,47.01834917068482,-2.98165082931518,Other
LLaVA-NeXT,llava-next,8,25,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,8,26,46.788990497589126,-3.2110095024108802,Other
LLaVA-NeXT,llava-next,8,27,48.16513657569886,-1.83486342430114,Other
LLaVA-NeXT,llava-next,8,28,51.83486342430113,1.83486342430114,Other
